video_title,video_url,video_views,video_uploaded_on,scrapped_on
National Language? 🇮🇳,https://www.youtube.com/shorts/2LCvpDDLTak,2.1M views,4 months ago,2022-09-09 14:12:18.384721
A Special Marriage in India,https://www.youtube.com/shorts/WYH2_57m8hA,1.2M views,4 months ago,2022-09-09 14:12:18.384721
Power of Art. 20 #indianconstitution,https://www.youtube.com/shorts/xNJBk6fw7rA,8.9M views,4 months ago,2022-09-09 14:12:18.384721
#vimalelaichi - Will you do it?,https://www.youtube.com/shorts/WC-BVnmSUpI,2.1M views,4 months ago,2022-09-09 14:12:18.384721
Jhooth bolna Paap hai..??,https://www.youtube.com/shorts/D1uNUvgvWxw,497K views,4 months ago,2022-09-09 14:12:18.384721
Ban on Loudspeakers?,https://www.youtube.com/shorts/LjI2LGRyrKQ,1.9M views,4 months ago,2022-09-09 14:12:18.384721
How to bridge the Employability Gap? with @Sunstone Eduversity,https://www.youtube.com/shorts/WG3OdLsYYak,240K views,4 months ago,2022-09-09 14:12:18.384721
Can you pursue two degrees simultaneously?,https://www.youtube.com/shorts/enwdE8gok9A,1.4M views,4 months ago,2022-09-09 14:12:18.384721
Duty to Protect? #indianconstitution,https://www.youtube.com/shorts/vScoiIN5cg8,897K views,4 months ago,2022-09-09 14:12:18.384721
Story of LLB 🤯,https://www.youtube.com/shorts/SDvBL7jrXR0,1.8M views,4 months ago,2022-09-09 14:12:18.384721
Power of #PIL,https://www.youtube.com/shorts/WF04PwoZsL8,401K views,4 months ago,2022-09-09 14:12:18.384721
🇮🇳 v. 🇵🇰 Who’s Better?,https://www.youtube.com/shorts/iCx_rUDeCPI,1.4M views,4 months ago,2022-09-09 14:12:18.384721
Sachin Tendulkar is an Actor?,https://www.youtube.com/shorts/dcNY5pSZ2LI,442K views,5 months ago,2022-09-09 14:12:18.384721
Election makes everything Free!,https://www.youtube.com/shorts/NGR9OLvMeqo,1M views,5 months ago,2022-09-09 14:12:18.384721
March 2022 | Monthly Current Affairs | Competitive Exams,https://www.youtube.com/watch?v=ul2eRvUikz4,119K views,5 months ago,2022-09-09 14:12:18.384721
Is Cricket Charity in India?,https://www.youtube.com/shorts/qB2--DEpEqI,497K views,5 months ago,2022-09-09 14:12:18.384721
Petrol Prices: Explained,https://www.youtube.com/shorts/LfWh3ayQ4Vw,1.5M views,5 months ago,2022-09-09 14:12:18.384721
What’s the Plan?🤔,https://www.youtube.com/shorts/th1Zg-fa5FY,2.7M views,5 months ago,2022-09-09 14:12:18.384721
How Students can Earn and Invest?,https://www.youtube.com/watch?v=b6e75KPdZsk,288K views,5 months ago,2022-09-09 14:12:18.384721
Most Important Current Affairs for Law Entrance Exams 2022 | CLAT | AILET | DU LLB,https://www.youtube.com/watch?v=M3O6bW8dDFE,69K views,5 months ago,2022-09-09 14:12:18.384721
Adoption Laws: Needs a change?,https://www.youtube.com/shorts/Phuz_P64uPg,6.6M views,5 months ago,2022-09-09 14:12:18.384721
Learn from Sri Lanka 🇱🇰,https://www.youtube.com/shorts/kVDAZrs9xXA,1M views,5 months ago,2022-09-09 14:12:18.384721
4.5 crore cases are pending in India! But why?,https://www.youtube.com/shorts/XqFHSEnOq0E,663K views,5 months ago,2022-09-09 14:12:18.384721
February 2022 | Monthly Current Affairs| Current Affairs 2022,https://www.youtube.com/watch?v=MQHRdXqQB6M,133K views,6 months ago,2022-09-09 14:12:18.384721
Ukraine Russia Crisis | Russia Ukraine conflict explained,https://www.youtube.com/watch?v=ZhSMv-AB-jg,98K views,6 months ago,2022-09-09 14:12:18.384721
Most Expensive and Famous Lawyer in 🇮🇳,https://www.youtube.com/shorts/j2VceMH--jg,1.7M views,6 months ago,2022-09-09 14:12:18.384721
Its NOT Hockey! 😱😱😱,https://www.youtube.com/shorts/s4r7eHn4Oyg,2.4M views,6 months ago,2022-09-09 14:12:18.384721
Why only BANGLADESH?,https://www.youtube.com/shorts/FKRiAoTbZrs,1.9M views,6 months ago,2022-09-09 14:12:18.384721
India and PDA!,https://www.youtube.com/shorts/XeFbBxGtOiI,4.9M views,6 months ago,2022-09-09 14:12:18.384721
This changed my Life!,https://www.youtube.com/shorts/RWWN9dO5SUk,312K views,6 months ago,2022-09-09 14:12:18.384721
Trick to Remember Full Fundamental Rights | Indian Constitution,https://www.youtube.com/watch?v=7jG6G-kIzD4,408K views,6 months ago,2022-09-09 14:12:18.384721
Tricks for Indian Constitution,https://www.youtube.com/shorts/X1GHVfc7vyA,1.8M views,6 months ago,2022-09-09 14:12:18.384721
Power of a Common Man!,https://www.youtube.com/shorts/SnXnaxnNFng,128K views,7 months ago,2022-09-09 14:12:18.384721
