Name,Last,High,Low,chg_pct,chg,Time,Day,Week,Month,Ytd,Year,3Year,Day,Hour,Week,Month
MSCI Sri Lanka,622.57,633.26,615.23,-0.38%,-2.36,14/02,-0.38%,1.83%,-8.58%,-3.30%,3.65%,0.17%,Sell,,Buy,Strong Buy
MSCI Sweden,"17,955.77","17,993.70","17,678.28",-2.30%,-422.85,14/02,-2.30%,-1.50%,-5.76%,-9.63%,9.19%,40.88%,Strong Sell,,Strong Sell,Strong Buy
MSCI Switzerland,"1,579.58","1,586.46","1,566.28",-1.70%,-27.32,14/02,-1.70%,-0.88%,-4.23%,-7.54%,9.88%,28.65%,Strong Sell,,Strong Sell,Strong Buy
MSCI Thailand,529.98,532.83,528.36,-0.71%,-3.79,14/02,-0.71%,0.58%,2.78%,2.66%,5.77%,-11.08%,Strong Buy,,Strong Buy,Strong Buy
MSCI Turkey,"2,257,699","2,286,684","2,216,997",-2.08%,-48050,14/02,-2.08%,0.51%,-2.71%,8.65%,36.84%,58.40%,Strong Buy,,Strong Buy,Strong Buy
MSCI Turkey Net EUR,92.87,94.22,91.64,-2.23%,-2.12,14/02,-2.23%,1.56%,-1.96%,6.64%,-21.82%,-32.91%,Neutral,,Neutral,Strong Sell
MSCI United Arab Emirates,479.09,479.09,471.98,+0.26%,+1.23,14/02,+0.26%,2.29%,7.00%,6.14%,36.05%,39.62%,Strong Buy,,Strong Buy,Strong Buy
MSCI United Kingdom,"2,138.80","2,174.39","2,126.30",-1.68%,-36.65,14/02,-1.68%,-0.49%,0.11%,2.77%,13.13%,2.28%,Buy,,Strong Buy,Strong Buy
MSCI US Net EUR,496.10,499.01,492.72,+0.48%,+2.36,14/02,+0.48%,-1.59%,-4.44%,-7.44%,18.53%,64.69%,Strong Sell,,Sell,Strong Buy
MSCI US Net USD,"12,245.46","12,315.20","12,148.08",-0.36%,-44.05,14/02,-0.36%,-2.55%,-5.48%,-7.96%,10.61%,65.35%,Strong Sell,,Strong Sell,Strong Buy
MSCI World,"3,011.45","3,037.83","2,994.81",-0.91%,-27.73,14/02,-0.91%,-2.13%,-5.09%,-6.82%,6.48%,45.72%,Strong Sell,,Strong Sell,Strong Buy
NQ Global,"2,118.33","2,118.85","2,110.56",+0.24%,+5.06,18:00:00,+0.24%,-1.53%,-4.63%,-5.95%,2.97%,40.47%,Strong Sell,Neutral,Strong Sell,Strong Buy
S&P Global 100,"3,037.17","3,055.74","3,017.66",-0.72%,-21.93,14/02,-0.72%,-2.52%,-3.39%,-4.03%,13.24%,63.42%,Strong Sell,,Neutral,Strong Buy
STOXX 600,467.30,467.36,459.48,+1.38%,+6.34,17:59:44,+1.38%,0.40%,-2.90%,-4.22%,11.45%,26.63%,Sell,Strong Buy,Sell,Strong Buy
The Europe Dow EUR,"1,768.29","1,773.15","1,742.65",+1.05%,+18.29,18:00:00,+1.05%,0.33%,0.39%,3.95%,23.44%,31.21%,Strong Buy,Strong Buy,Strong Buy,Strong Buy
The Global Dow EUR,"3,478.06","3,482.43","3,466.12",-0.04%,-1.38,18:00:00,-0.04%,-0.79%,-1.76%,1.48%,19.58%,39.67%,Neutral,Buy,Strong Buy,Strong Buy
The Global Dow USD,"4,188.35","4,192.42","4,164.43",+0.23%,+9.58,18:00:00,+0.23%,-1.45%,-2.53%,1.23%,12.04%,40.67%,Buy,Sell,Strong Buy,Strong Buy
TR UK 50,113.98,115.94,113.38,-1.67%,-1.94,14/02,-1.67%,-0.55%,0.18%,2.97%,11.70%,-1.19%,Buy,,Strong Buy,Strong Buy
