Name,Last,High,Low,chg_pct,chg,Time,Day,Week,Month,Ytd,Year,3Year,Day,Hour,Week,Month
DJ Italy,205.61,205.76,201.21,+1.80%,+3.63,18:00:00,+1.80%,1.83%,-2.32%,-1.80%,14.95%,31.42%,Buy,Strong Buy,Neutral,Strong Buy
DJ Italy Titans 30,"2,805.09","2,807.40","2,742.42",+1.86%,+51.20,18:00:00,+1.86%,2.04%,-1.88%,-0.67%,18.89%,33.65%,Buy,Strong Buy,Neutral,Strong Buy
DJ Italy USD,149.19,149.43,145.65,+2.07%,+3.02,18:00:00,+2.07%,1.15%,-3.08%,-2.05%,7.69%,32.35%,Neutral,Strong Buy,Neutral,Strong Buy
DJ Japan,127.53,128.99,127.00,-0.82%,-1.06,18:00:00,-0.82%,-1.03%,-3.50%,-4.29%,-3.12%,21.55%,Sell,Strong Sell,Strong Sell,Buy
DJ Japan USD,137.57,139.30,137.46,-0.93%,-1.29,18:00:00,-0.93%,-1.09%,-5.05%,-4.70%,-11.45%,16.19%,Strong Sell,Strong Sell,Strong Sell,Neutral
DJ Malaysia,296.78,296.78,294.50,+0.73%,+2.14,18:00:00,+0.73%,3.36%,1.83%,0.72%,-3.96%,-6.84%,Strong Buy,Strong Buy,Strong Buy,Neutral
DJ Malaysia USD,192.90,192.91,191.33,+0.82%,+1.58,18:00:00,+0.82%,3.32%,1.64%,0.23%,-7.55%,-9.02%,Strong Buy,Strong Buy,Strong Buy,Strong Sell
DJ Mexico,"3,461.83","3,464.68","3,460.98",0.00%,-0.09,18:00:00,0.00%,0.22%,-2.50%,-1.69%,16.14%,21.06%,Strong Buy,Strong Sell,Strong Buy,Strong Buy
DJ Mexico USD,521.05,521.43,519.68,+0.09%,+0.46,18:00:00,+0.09%,1.58%,-2.85%,-1.30%,14.93%,15.00%,Strong Buy,Strong Buy,Strong Buy,Strong Buy
DJ Netherlands,815.45,817.15,795.16,+1.73%,+13.90,18:00:00,+1.73%,0.29%,-6.73%,-11.87%,5.26%,66.05%,Strong Sell,Strong Buy,Strong Sell,Buy
DJ Norway,616.21,620.51,615.04,-0.47%,-2.88,18:00:00,-0.47%,-0.08%,-2.05%,0.13%,20.71%,23.80%,Neutral,Strong Sell,Buy,Strong Buy
DJ Norway USD,414.34,419.43,413.26,-0.48%,-1.99,18:00:00,-0.48%,-0.74%,-3.66%,-0.69%,14.58%,20.56%,Neutral,Strong Sell,Neutral,Strong Buy
DJ Philippines,740.79,748.23,739.20,-0.85%,-6.32,18:00:00,-0.85%,-1.69%,0.55%,2.32%,5.96%,-7.00%,Sell,Strong Sell,Strong Buy,Strong Buy
DJ Portugal,138.65,138.71,135.48,+1.91%,+2.60,18:00:00,+1.91%,-2.00%,-5.11%,-6.78%,1.04%,5.04%,Strong Sell,Strong Buy,Strong Sell,Neutral
DJ Portugal USD,106.31,106.35,103.64,+2.18%,+2.27,18:00:00,+2.18%,-2.66%,-5.85%,-7.02%,-5.43%,5.78%,Strong Sell,Strong Buy,Strong Sell,Strong Sell
DJ Singapore,318.97,319.28,317.76,+0.07%,+0.21,18:00:00,+0.07%,-2.82%,-1.73%,-3.18%,-4.04%,19.63%,Sell,Neutral,Strong Sell,Neutral
DJ Singapore USD,384.11,384.46,382.19,+0.23%,+0.89,18:00:00,+0.23%,-2.85%,-1.63%,-3.00%,-5.45%,20.76%,Neutral,Neutral,Strong Sell,Neutral
DJ South Africa,"2,096.75","2,110.25","2,084.97",+0.50%,+10.40,18:00:00,+0.50%,1.16%,2.93%,5.70%,5.57%,21.81%,Strong Buy,Strong Buy,Strong Buy,Strong Buy
DJ South Africa USD,379.66,385.09,378.03,+0.35%,+1.32,18:00:00,+0.35%,2.67%,4.44%,11.44%,1.85%,13.81%,Strong Buy,Buy,Strong Buy,Strong Buy
DJ South Korea,634.90,643.83,632.43,-0.86%,-5.50,18:00:00,-0.86%,-1.61%,-7.76%,-9.40%,-15.18%,27.71%,Strong Sell,Strong Sell,Strong Sell,Sell
DJ Spain,333.38,333.67,327.05,+1.32%,+4.33,18:00:00,+1.32%,0.08%,-1.10%,-0.19%,6.52%,-5.37%,Neutral,Strong Buy,Sell,Neutral
